agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url,crime_index,gautrain_km
,173.0,,4.0,,,Weltevreden Park,,1749999.0,4 Bedroom Townhouse,,,3.0,9.07
,294.0,,4.0,,,Weltevreden Park,,2400000.0,4 Bedroom House,,,3.0,9.07
,206.0,,5.0,,,Weltevreden Park,,2650000.0,5 Bedroom House,,,3.0,9.07
,70.0,,2.0,,,Wilgeheuwel,,850000.0,2 Bedroom Townhouse,,,3.0,13.84
,688.0,,3.0,,,Florida Lake,,600000.0,3 Bedroom Townhouse,,,3.0,13.84
,65.0,,2.0,,,Honeypark,,600000.0,2 Bedroom Townhouse,,,3.0,13.84
,122.0,,3.0,,,Weltevreden Park,,1185000.0,3 Bedroom Townhouse,,,3.0,9.07
,73.0,,2.0,,,Honeypark,,649995.0,2 Bedroom Apartment,,,3.0,13.84
,102.0,,2.0,,,Honeydew Manor,,1050000.0,2 Bedroom Townhouse,,,3.0,13.84
,126.0,,,,,Roodekrans,,800000.0,Vacant Land,,,3.0,13.84
,479.0,,4.0,,,Roodekrans,,2300000.0,4 Bedroom House,,,3.0,13.84
,374.0,,3.0,,,Cosmo City,,1100000.0,3 Bedroom House,,,3.0,13.84
,122.0,,3.0,,,Radiokop,,1195000.0,3 Bedroom Townhouse,,,3.0,12.01
,58.0,,2.0,,,Wilgeheuwel,,759000.0,2 Bedroom Townhouse,,,3.0,13.84
,693.0,5.0,4.0,,,Ruimsig,,2150000.0,4 Bedroom Townhouse,,,2.0,17.29
,76.0,,2.0,,,Witpoortjie,,770000.0,2 Bedroom Apartment,,,3.0,13.84
,152.0,2.0,2.0,,,Honeydew Grove,,1590000.0,2 Bedroom Townhouse,,,3.0,13.84
,874.0,,3.0,,,Witpoortjie,,1190000.0,3 Bedroom House,,,3.0,13.84
,991.0,,4.0,,,Quellerina,,2799000.0,4 Bedroom House,,,3.0,13.84
,61.0,,2.0,,,Lindhaven,,500000.0,2 Bedroom Apartment,,,3.0,13.84
,115.0,1.0,4.0,,,Discovery,,1500000.0,4 Bedroom House,,,4.0,12.35
,73.0,,2.0,,,Weltevreden Park,,820000.0,2 Bedroom Townhouse,,,3.0,9.07
,71.0,,2.0,,,Discovery,,575000.0,2 Bedroom Apartment,,,4.0,12.35
,850.0,,,,,Maraisburg,,20000000.0,Industrial Property,,,3.0,13.84
,63.0,,2.0,,,Horizon View,,385000.0,2 Bedroom Apartment,,,3.0,13.84
,79.0,,2.0,,,Horison,,439000.0,2 Bedroom Apartment,,,3.0,13.84
,89.0,,3.0,,,Wilgeheuwel,,1075000.0,3 Bedroom Townhouse,,,3.0,13.84
,860.0,,3.0,,,Witpoortjie,,1299995.0,3 Bedroom House,,,3.0,13.84
,800.0,,4.0,,,Ruimsig,,4290000.0,4 Bedroom House,,,2.0,17.29
,132.0,,3.0,,,Groblerpark,,630000.0,3 Bedroom Apartment,,,3.0,13.84
,75.0,,2.0,,,Wilgeheuwel,,820000.0,2 Bedroom Townhouse,,,3.0,13.84
,755.0,,3.0,,,Weltevreden Park,,1749000.0,3 Bedroom House,,,3.0,9.07
,65.0,,2.0,,,Weltevreden Park,,1090000.0,2 Bedroom Townhouse,,,3.0,9.07
,75.0,,2.0,,,Wilgeheuwel,,850000.0,2 Bedroom Townhouse,,,3.0,13.84
,258.0,,3.0,,,Witpoortjie,,850000.0,3 Bedroom House,,,3.0,13.84
